utterance_id,audio_path,transcript,speaker_id,chapter_id
1320-122617-0005,test-clean\1320\122617\1320-122617-0005.flac,THE BEAR SHOOK HIS SHAGGY SIDES AND THEN A WELL KNOWN VOICE REPLIED,1320,122617
1320-122612-0015,test-clean\1320\122612\1320-122612-0015.flac,THE WHOLE PARTY CROWDED TO THE SPOT WHERE UNCAS POINTED OUT THE IMPRESSION OF A MOCCASIN IN THE MOIST ALLUVION,1320,122612
1320-122617-0032,test-clean\1320\122617\1320-122617-0032.flac,KEEP SILENT AS LONG AS MAY BE AND IT WOULD BE WISE WHEN YOU DO SPEAK TO BREAK OUT SUDDENLY IN ONE OF YOUR SHOUTINGS WHICH WILL SERVE TO REMIND THE INDIANS THAT YOU ARE NOT ALTOGETHER AS RESPONSIBLE AS MEN SHOULD BE,1320,122617
1320-122617-0026,test-clean\1320\122617\1320-122617-0026.flac,WELL WHAT CAN'T BE DONE BY MAIN COURAGE IN WAR MUST BE DONE BY CIRCUMVENTION,1320,122617
1320-122617-0000,test-clean\1320\122617\1320-122617-0000.flac,NOTWITHSTANDING THE HIGH RESOLUTION OF HAWKEYE HE FULLY COMPREHENDED ALL THE DIFFICULTIES AND DANGER HE WAS ABOUT TO INCUR,1320,122617
1320-122612-0001,test-clean\1320\122612\1320-122612-0001.flac,THE DEWS WERE SUFFERED TO EXHALE AND THE SUN HAD DISPERSED THE MISTS AND WAS SHEDDING A STRONG AND CLEAR LIGHT IN THE FOREST WHEN THE TRAVELERS RESUMED THEIR JOURNEY,1320,122612
1320-122612-0007,test-clean\1320\122612\1320-122612-0007.flac,CHINGACHGOOK HAD CAUGHT THE LOOK AND MOTIONING WITH HIS HAND HE BADE HIM SPEAK,1320,122612
1320-122617-0003,test-clean\1320\122617\1320-122617-0003.flac,THERE WAS SOMETHING IN HIS AIR AND MANNER THAT BETRAYED TO THE SCOUT THE UTTER CONFUSION OF THE STATE OF HIS MIND,1320,122617
1320-122617-0033,test-clean\1320\122617\1320-122617-0033.flac,IF HOWEVER THEY TAKE YOUR SCALP AS I TRUST AND BELIEVE THEY WILL NOT DEPEND ON IT UNCAS AND I WILL NOT FORGET THE DEED BUT REVENGE IT AS BECOMES TRUE WARRIORS AND TRUSTY FRIENDS,1320,122617
1320-122617-0034,test-clean\1320\122617\1320-122617-0034.flac,HOLD SAID DAVID PERCEIVING THAT WITH THIS ASSURANCE THEY WERE ABOUT TO LEAVE HIM I AM AN UNWORTHY AND HUMBLE FOLLOWER OF ONE WHO TAUGHT NOT THE DAMNABLE PRINCIPLE OF REVENGE,1320,122617
1320-122617-0025,test-clean\1320\122617\1320-122617-0025.flac,SO UNCAS YOU HAD BETTER TAKE THE LEAD WHILE I WILL PUT ON THE SKIN AGAIN AND TRUST TO CUNNING FOR WANT OF SPEED,1320,122617
1320-122617-0008,test-clean\1320\122617\1320-122617-0008.flac,THE YOUNG MAN IS IN BONDAGE AND MUCH I FEAR HIS DEATH IS DECREED,1320,122617
2094-142345-0050,test-clean\2094\142345\2094-142345-0050.flac,BUT THERE'S FATHER THE BARN SIR IF HE'D BE OF ANY USE,2094,142345
2094-142345-0031,test-clean\2094\142345\2094-142345-0031.flac,AND SHE WAS VERY FOND OF YOU TOO AUNT RACHEL,2094,142345
2094-142345-0029,test-clean\2094\142345\2094-142345-0029.flac,DID EVER ANYBODY SEE THE LIKE SCREAMED MISSUS POYSER RUNNING TOWARDS THE TABLE WHEN HER EYE HAD FALLEN ON THE BLUE STREAM,2094,142345
2094-142345-0052,test-clean\2094\142345\2094-142345-0052.flac,I MUST COME ANOTHER DAY AND SEE YOUR HUSBAND I WANT TO HAVE A CONSULTATION WITH HIM ABOUT HORSES,2094,142345
2094-142345-0020,test-clean\2094\142345\2094-142345-0020.flac,THAT'S WHAT YOU'D LIKE TO BE DOING IS IT,2094,142345
2094-142345-0044,test-clean\2094\142345\2094-142345-0044.flac,SAID MISTER IRWINE WITH HIS STATELY CORDIALITY,2094,142345
