speaker_id,name_initial,sentence_num,sentence_key,reference_text,audio_file,age_group,gender,accent_type,native_language,region,condition
speaker_01,a,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_01\speaker_01_sent1.wav,18-25,F,Anglophone Cameroonian,English,North West,accented
speaker_01,a,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_01\speaker_01_sent2.wav,18-25,F,Anglophone Cameroonian,English,North West,accented
speaker_01,a,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_01\speaker_01_sent3.wav,18-25,F,Anglophone Cameroonian,English,North West,accented
speaker_02,b,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_02\speaker_02_sent1.wav,18-25,M,Anglophone Cameroonian,English,North West,accented
speaker_02,b,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_02\speaker_02_sent2.wav,18-25,M,Anglophone Cameroonian,English,North West,accented
speaker_02,b,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_02\speaker_02_sent3.wav,18-25,M,Anglophone Cameroonian,English,North West,accented
speaker_03,e,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_03\speaker_03_sent1.wav,18-25,M,Francophone Cameroonian,French,Littoral,accented
speaker_03,e,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_03\speaker_03_sent2.wav,18-25,M,Francophone Cameroonian,French,Littoral,accented
speaker_03,e,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_03\speaker_03_sent3.wav,18-25,M,Francophone Cameroonian,French,Littoral,accented
speaker_04,f,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_04\speaker_04_sent1.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_04,f,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_04\speaker_04_sent2.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_04,f,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_04\speaker_04_sent3.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_05,j,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_05\speaker_05_sent1.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_05,j,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_05\speaker_05_sent2.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_05,j,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_05\speaker_05_sent3.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_06,o,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_06\speaker_06_sent1.wav,18-25,M,Anglophone Cameroonian,English,SouthWest,accented
speaker_06,o,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_06\speaker_06_sent2.wav,18-25,M,Anglophone Cameroonian,English,SouthWest,accented
speaker_06,o,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_06\speaker_06_sent3.wav,18-25,M,Anglophone Cameroonian,English,SouthWest,accented
speaker_07,r,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_07\speaker_07_sent1.wav,18-25,F,Anglophone Cameroonian,English,North West,accented
speaker_07,r,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_07\speaker_07_sent2.wav,18-25,F,Anglophone Cameroonian,English,North West,accented
speaker_07,r,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_07\speaker_07_sent3.wav,18-25,F,Anglophone Cameroonian,English,North West,accented
speaker_08,s,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_08\speaker_08_sent1.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_08,s,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_08\speaker_08_sent2.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_08,s,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_08\speaker_08_sent3.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_09,t,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_09\speaker_09_sent1.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_09,t,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_09\speaker_09_sent2.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_09,t,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_09\speaker_09_sent3.wav,18-25,F,Anglophone Cameroonian,English,South West,accented
speaker_10,v,1,sentence1,The project was completed after weeks of careful planning and repeated testing,accented\processed\speaker_10\speaker_10_sent1.wav,18-25,F,Anglophone Cameroonian,English,West,accented
speaker_10,v,2,sentence2,"Students discussed complex problems, proposed practical solutions, and presented detailed results",accented\processed\speaker_10\speaker_10_sent2.wav,18-25,F,Anglophone Cameroonian,English,West,accented
speaker_10,v,3,sentence3,"When the instructions were unclear, the team asked questions, adjusted their approach, and continued working",accented\processed\speaker_10\speaker_10_sent3.wav,18-25,F,Anglophone Cameroonian,English,West,accented
